# RUN_NAME=t2
# pulse_id=668
# i_unit=A
# rogowski_v_per_a=0.02
# u_probe_attenuation=50.0
# created=2025-11-11T10:06:26.012615
# columns: sample_idx,time_s,u_V,i_A
417,2.001600000e-05,-1.968503937e-02,0.000000000e+00
418,2.006400000e-05,-5.905511811e-02,-3.937007874e+00
419,2.011200000e-05,-1.968503937e-02,-3.937007874e+00
420,2.016000000e-05,0.000000000e+00,-3.937007874e+00
421,2.020800000e-05,0.000000000e+00,0.000000000e+00
422,2.025600000e-05,-1.968503937e-02,0.000000000e+00
423,2.030400000e-05,0.000000000e+00,0.000000000e+00
424,2.035200000e-05,0.000000000e+00,0.000000000e+00
425,2.040000000e-05,0.000000000e+00,0.000000000e+00
426,2.044800000e-05,0.000000000e+00,0.000000000e+00
427,2.049600000e-05,-3.937007874e-02,0.000000000e+00
428,2.054400000e-05,-1.968503937e-02,0.000000000e+00
429,2.059200000e-05,0.000000000e+00,0.000000000e+00
430,2.064000000e-05,-1.968503937e-02,0.000000000e+00
431,2.068800000e-05,0.000000000e+00,0.000000000e+00
432,2.073600000e-05,0.000000000e+00,0.000000000e+00
433,2.078400000e-05,0.000000000e+00,0.000000000e+00
434,2.083200000e-05,-1.968503937e-02,-3.937007874e+00
435,2.088000000e-05,-1.968503937e-02,0.000000000e+00
436,2.092800000e-05,-1.968503937e-02,0.000000000e+00
437,2.097600000e-05,0.000000000e+00,0.000000000e+00
438,2.102400000e-05,-1.968503937e-02,0.000000000e+00
439,2.107200000e-05,0.000000000e+00,0.000000000e+00
440,2.112000000e-05,0.000000000e+00,0.000000000e+00
441,2.116800000e-05,-1.968503937e-02,0.000000000e+00
442,2.121600000e-05,-1.968503937e-02,0.000000000e+00
443,2.126400000e-05,-3.937007874e-02,0.000000000e+00
444,2.131200000e-05,-3.937007874e-02,0.000000000e+00
445,2.136000000e-05,0.000000000e+00,-3.937007874e+00
446,2.140800000e-05,-1.968503937e-02,0.000000000e+00
447,2.145600000e-05,0.000000000e+00,0.000000000e+00
448,2.150400000e-05,0.000000000e+00,0.000000000e+00
449,2.155200000e-05,-1.968503937e-02,0.000000000e+00
450,2.160000000e-05,-1.968503937e-02,0.000000000e+00
451,2.164800000e-05,-1.968503937e-02,0.000000000e+00
452,2.169600000e-05,-1.968503937e-02,0.000000000e+00
453,2.174400000e-05,0.000000000e+00,0.000000000e+00
454,2.179200000e-05,0.000000000e+00,0.000000000e+00
